region,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.186,84.196,84.206,84.215,84.256,84.282,84.283,84.287,84.295,84.299,84.304,84.318,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.370,84.371,84.374,84.377
south carolina,0,210587045,625280,1784262,2437264,9460,0,153846,0,0,3876246,3010325,755250,0,10983593,0,0,0,16562298,0,0,0,3725482,637926,1429292,0,1634610,0,0,3653430,0,0,4628599,2340285,37806349,0,6412299,0,0,8410467,0
south dakota,0,43747031,895535,157324,44597766,3156544,0,140821,0,0,2461557,1421552,162603,0,2415141,0,0,0,5561458,0,1333034,0,1306243,944143,3910023,1919503,0,0,0,1020015,0,1386666,1716487,890416,13986101,0,3624794,0,0,4443016,0
tennessee,0,275729637,681679,459693,4151903,0,0,153846,0,0,5727804,4856799,930437,0,10329851,0,8088286,0,19426657,0,0,0,4986040,215064,0,2031930,1066405,0,0,5106914,0,0,5998028,3890372,52243374,0,7749391,0,0,0,0
texas,760295,1366708619,63091305,2432943,92886971,361170,5046156,67198,3557996,0,43001524,22665519,5113238,0,31728677,0,24625262,25602227,100365450,0,0,0,24226826,5414576,3642246,21064897,3232237,0,0,14883462,0,4541157,98711971,18111652,248122271,0,24006948,0,0,14535293,0
us virgin islands,0,0,0,0,176559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utah,0,69137760,2113961,782807,9363490,1179567,0,76923,0,0,6541555,1815454,617945,0,7974076,0,0,0,5561458,0,509141,0,1306243,102840,0,0,0,0,0,331102,0,0,5322574,1044566,19445296,737153,5596409,0,0,0,0
vermont,0,33494185,699232,416415,148376,199360,0,153846,0,0,3080343,1407594,162602,0,2519533,0,0,0,5561458,0,0,0,1305261,19328,0,0,0,0,0,0,0,0,5e+05,890416,13949902,0,3430537,0,0,0,0
virginia,0,245804189,803603,1720298,37061815,15049,0,153846,0,0,5775215,5429816,1015099,1250834,10281541,0,114850,0,18269071,0,0,0,4390434,92702,719466,722600,0,0,0,1847459,0,2626036,11448020,2875736,52703942,1832249,8814697,0,594891,0,0
washington,0,199417440,14506605,1065391,52441181,4082609,2181428,0,2524897,0,10775546,4724699,1198445,0,15115021,0,0,0,15140583,0,2908643,0,3536794,1706061,0,0,2275104,0,0,3458380,0,0,16488896,2674768,48044346,1546645,7954146,0,628952,0,0
west virginia,0,93697845,78344,721925,17981,0,0,0,0,0,123605,2077972,313210,0,4993889,0,0,12199893,7935924,0,0,0,1608381,45920,0,1937985,0,0,0,2925965,0,0,677170,1063654,23376857,0,4255119,0,0,0,0
wisconsin,0,214713617,690828,1127480,13188514,2390363,385686,153846,0,0,14351031,4429399,833372,150000,20257890,0,29831279,0,14793813,0,275960,0,3723952,1633566,0,442513,265527,0,0,3473594,0,0,7091009,2273620,46847280,0,7257019,0,1286966,0,0
wyoming,0,33766098,270369,639381,15121760,799839,0,0,0,0,8408964,1403448,162602,0,1305604,0,0,0,5560157,0,0,0,1305781,0,0,0,0,0,0,16098,0,0,5e+05,890416,13986101,0,3403304,0,0,0,0
