region,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.196,84.215,84.282,84.287,84.295,84.299,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.360,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.371,84.374,84.377,84.411
north carolina,0,392835320,5831021,2266788,18222049,3669119,466585,60000,0,0,0,1841344,2899767,0,30382826,0,162669,702847,1411798,0,0,0,0,6780650,0,0,599130,15739992,4733183,53672170,0,9706560,0,0,14484742,14999802
north dakota,0,34506396,241933,81912,20910465,1898270,0,120000,0,0,0,162932,530274,0,5643199,0,1152578,0,0,0,0,0,0,989232,0,0,0,1002226,744840,11480066,0,3429251,0,0,1236025,0
northern mariana islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79214,0,0,0
ohio,0,574819917,2745468,934651,1928235,0,0,60000,0,0,56031,2625826,1211750,0,44561817,0,0,284938,1523165,2732834,0,0,0,6289378,0,0,0,10372608,5268605,90691008,0,11021049,0,0,21032921,2970361
oklahoma,0,156428522,1587352,307332,41227842,25256826,0,60000,0,0,0,719404,1718411,0,11863563,0,862743,0,0,0,0,0,0,10237903,0,0,0,4887029,1896140,27850425,0,5709418,0,0,5626617,0
oregon,734980,146593673,10601578,707622,3395173,1980470,1366307,60000,849786,0,0,661079,269899,0,11468489,0,616677,352158,0,0,0,0,0,3217159,3509814,0,0,8623939,1543635,23500557,6273320,5537061,0,0,5793113,0
pennsylvania,0,553742465,9370874,966956,4288943,0,0,60000,424800,0,0,2592529,0,350970,41145417,0,0,771915,0,449125,574597,0,0,2300432,2340106,0,1207867,15283202,4561474,97761553,0,11241692,0,0,19633684,2549721
puerto rico,0,515740009,0,606834,985048,0,443586,0,0,0,0,1853704,0,0,38768439,0,0,0,0,0,0,0,0,0,0,0,0,3379468,4680092,74985338,0,5667034,0,0,0,0
rhode island,570590,49354025,0,445734,2123978,0,0,0,0,0,0,214602,0,1,5643199,0,0,59451,0,0,0,0,0,176654,0,0,0,3427404,744840,11480066,0,3661399,0,0,0,0
south carolina,0,219650852,580634,1472773,1419162,20172,0,120000,0,3587016,3080621,956824,344424,2589949,17183734,0,0,425636,1126370,0,286640,0,0,3179131,0,0,712480,4759962,2330551,30486587,0,6146897,0,0,8119089,0
