region,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.196,84.215,84.256,84.282,84.283,84.287,84.295,84.299,84.304,84.318,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.360,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.370,84.371,84.374,84.377
palau,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pennsylvania,0,141016011,9389093,768384,3006904,0,0,66666,424500,0,2396612,2384170,5634428,0,1172721,0,44262277,0,1,0,0,763710,0,1692872,573503,0,0,1772115,2628172,0,964863,13581648,5053589,29617021,0,11308440,0,38900894,503777,21534479
puerto rico,0,124475840,0,549586,507429,0,431565,0,0,0,0,2247660,0,0,0,0,43399789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6848415,6621382,22867032,0,5733227,0,101814,0,20755917
rhode island,571170,12701763,0,577080,1757733,0,0,0,0,0,0,217679,447336,0,4877043,0,5653883,0,0,0,0,82795,0,0,0,0,0,74041,0,0,0,2663643,871257,3483632,0,3670712,0,150000,0,1817469
south carolina,0,54677522,581763,1436527,1955845,20097,0,133333,0,3792930,6013394,995582,6270917,0,3458716,0,16710233,0,0,0,0,1162503,1127734,0,397237,0,0,3532504,0,0,749578,5060403,2757646,9258436,0,6134580,0,150000,30865,8067374
south dakota,0,9756103,867434,143809,54932690,3632324,0,133333,0,0,39555,194199,1057356,0,0,0,5653883,0,1792436,0,0,427832,1046608,634127,0,0,0,997746,0,0,693006,901532,871257,3392172,0,3576728,0,0,2150869,1638017
tennessee,0,68129847,596073,539631,5396201,0,0,133333,0,3732018,4537316,1227251,2040992,0,8338113,0,21081223,0,0,0,0,245939,0,0,602217,0,0,5277956,0,0,523549,5846451,3702254,12603432,0,7383337,0,150000,0,10110900
texas,751304,329248633,61098478,2331823,102624979,392057,3137948,66666,2869380,9786717,9157686,6051924,12470603,0,9881240,7799050,102765038,0,247866,0,0,4331048,1006296,5277027,252363,0,0,15437293,2736957,0,3512890,102914776,17633540,60610991,0,22888175,0,68249370,22578589,51428374
us virgin islands,0,0,0,0,141161,0,0,0,0,0,0,0,318927,0,0,0,0,0,0,0,0,29640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341043,0,0
utah,0,20993546,1912786,875700,9623676,1233024,0,66666,0,0,0,364540,7494713,0,0,0,5653883,0,288211,0,0,137148,0,0,0,0,0,594247,0,0,0,5276547,1162788,4825971,0,5445475,0,4479,0,2638311
vermont,0,7840690,657158,607075,309335,0,0,133333,0,0,46484,163241,0,0,0,0,5653883,0,0,0,0,34200,0,0,0,0,0,0,0,0,0,5e+05,871257,3483632,0,3391858,0,-7028,0,1262942
virginia,0,63691514,822944,1851202,41276548,15115,0,133333,0,0,2095414,1091498,2113208,0,239526,0,19361507,0,0,0,0,222362,946130,548442,276105,0,0,2059665,0,0,1934151,11220634,2733278,13092685,0,8413984,0,146790,0,9351868
washington,0,56941177,15659257,1031945,51680334,4262888,1786685,66666,2480920,0,0,957434,4965461,0,0,0,14596503,0,1104166,0,0,2328282,0,0,1171414,0,0,3189429,2342258,0,0,16822335,2663206,12018301,0,7598877,0,138621,0,7585698
west virginia,0,23649354,0,900672,25111,0,0,0,0,0,2117474,420004,336144,0,0,3705787,6893813,0,0,0,0,54230,0,487448,0,0,0,2755079,0,0,0,714535,1007298,6190149,0,4141396,0,150000,0,3324544
wisconsin,0,55060333,658381,1118047,14297477,2440277,867773,133333,330795,0,5992453,958800,9170446,0,2582282,0,14031373,0,420730,0,0,650000,0,128759,757831,0,0,3511127,0,0,0,7347050,2291127,12026497,10486195,6951770,0,3e+05,0,6757717
wyoming,0,7757608,241567,582840,16610146,931227,0,0,0,0,1484069,163241,759601,0,103603,0,5653883,0,302976,0,0,0,0,0,0,0,0,13864,0,0,0,5e+05,871257,3483632,0,3383472,0,85111,0,1216459
