region,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.184,84.186,84.196,84.206,84.215,84.256,84.282,84.287,84.299,84.304,84.318,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.370,84.374,84.377
puerto rico,0,510525233,0,637553,590196,0,0,0,645673,0,7110708,2410092,0,0,0,0,34283496,0,0,9664865,0,0,0,0,0,0,0,0,0,0,7396399,81828047,0,6371840,0,0,2842450
rhode island,556321,52978454,0,613744,1858144,0,0,0,0,0,1423348,235096,0,1265396,0,1798,5313082,0,0,1294335,0,4179592,0,0,0,0,66043,0,0,1666469,890414,13949487,0,3764106,0,0,2281425
south carolina,0,205597026,550190,1487678,2519557,0,0,178664,0,2311373,3762360,960850,0,11356168,0,5242988,15417677,0,0,3853165,2790790,2820552,0,0,0,0,3723969,0,0,4132876,2757962,37978750,0,6397912,0,6421538,9122091
south dakota,0,41538597,836526,221897,48259766,3128253,0,122873,0,293361,1423348,189486,0,2808343,0,0,5313082,714301,0,1294335,610971,0,0,0,0,0,1016814,0,0,693751,890414,13987032,0,3624926,0,4661292,1824688
tennessee,0,239035583,545694,475149,4211266,0,856581,178657,0,570940,4856799,1128245,0,5276201,0,2514042,16781458,0,0,4524449,3725385,0,0,0,0,0,4148833,0,0,5144957,3552527,51213618,0,7719208,0,0,10495120
texas,753549,1298744881,58879762,3014831,95233578,340036,2905857,187139,5445587,4760293,23245264,5934501,0,17532022,0,0,94337613,0,0,23798317,7144356,0,5386240,0,0,0,15646952,0,0,93426472,16237939,247402104,0,23620931,0,15549735,58325043
us virgin islands,0,0,0,0,179467,0,0,0,0,0,0,0,0,5e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utah,0,60019100,1783442,672642,9441356,862487,0,107069,0,248710,1816039,263744,0,10181580,0,10611684,5313082,0,0,1292165,24300,0,0,0,0,0,179336,0,0,4742500,942150,19031428,1091981,5496829,0,0,2154955
vermont,0,32862110,624430,487207,137877,163843,0,178768,0,38000,1423348,160167,0,3840206,0,0,5313082,0,0,1289746,24202,0,0,0,0,0,0,0,0,466089,890414,13987032,0,3440162,0,0,1434448
virginia,0,223989305,812912,1400439,41254868,11400,0,179027,0,2352854,5429816,1059872,2036667,7128735,0,0,16522893,0,0,4232507,181044,4148199,0,0,0,0,1810796,0,0,12022633,2776136,52503196,0,8819272,0,0,9955998
washington,0,191850728,15608240,717650,50968373,4212279,1728481,53167,772231,642382,4733378,878369,0,7552870,0,2197948,14883244,550000,0,3522404,1269065,0,0,0,0,0,3213195,0,0,14301456,2658511,48000430,0,7953805,0,0,9042536
west virginia,0,99607055,81182,573103,27537,0,0,16147,0,157900,2079478,460395,0,2245029,0,0,6795607,0,0,1840814,28372,0,0,0,0,0,3587458,0,0,643071,1174794,23712504,0,4250061,0,0,4286954
wisconsin,0,199030296,630036,1204189,14479956,2349613,746864,159294,0,204721,4792453,858249,0,16594980,0,408390,16533318,1296596,0,3441718,1587394,0,0,0,0,0,3371641,0,0,6429556,2098638,46372266,0,7293993,0,0,8463877
wyoming,0,31515777,223247,569879,15363658,747297,0,0,0,3508727,1423348,160167,0,2828374,0,0,5313053,0,0,1294335,1456,0,0,0,0,0,11554,0,0,5e+05,890414,13986757,0,3398143,0,0,1383026
