region,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.186,84.196,84.206,84.215,84.256,84.282,84.283,84.287,84.295,84.299,84.304,84.318,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.360,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.370,84.371,84.374,84.377
northern mariana islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000,1016860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ohio,0,137757832,2756462,2406718,2101105,0,0,94714,0,0,5621747,0,2367349,0,14119947,0,0,0,42635339,0,0,0,3473841,375336,2119980,1745782,0,0,0,5013088,0,0,0,8707875,5955245,45280543,0,11788423,0,8948335,471559,20371076
oklahoma,0,41133993,1593709,394128,36962358,26304746,0,93643,0,0,2735326,0,732592,0,6269921,0,79816,2280296,12540698,0,1470988,0,1068246,881349,0,0,0,0,0,11307155,0,0,0,4470166,2316485,14429844,0,5879259,0,0,364242,6000938
oregon,718383,37619602,10644031,1228212,2720545,2027136,1675249,35317,1152144,0,6811771,0,666557,0,6444805,0,798628,1761416,10727877,0,1126137,0,964088,327292,0,0,0,0,0,2680181,2727159,0,0,8257559,1803788,12125706,0,5780971,0,17052933,3569903,5310408
palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pennsylvania,0,148129720,9408399,1163496,1771039,0,0,100844,423000,0,3066157,0,2578809,440711,14116456,0,7152914,0,45206748,0,396327,0,3788089,318575,0,1632156,825870,0,0,1794088,2546687,0,1183452,13096320,5644486,48438038,0,12026529,0,0,31679938,21711071
puerto rico,0,133357161,0,552540,3071285,0,420025,0,0,0,0,0,2524772,0,0,0,0,0,43014422,0,0,0,3714274,0,0,0,0,0,0,0,0,0,0,3369500,7629945,39111817,0,6249378,0,0,0,20422643
rhode island,561314,13105330,0,637491,1537318,0,0,0,0,0,101372,0,217815,0,3609334,0,2930920,0,5733988,0,0,0,483875,0,0,0,0,0,0,105019,0,0,0,1972530,897878,5888914,0,3741795,0,0,0,1921317
south carolina,0,53637861,582959,1699873,2440340,16416,0,159378,0,4980915,4552364,0,975770,0,8826449,0,5677105,0,16347381,0,0,0,1430108,481127,1185719,0,245663,0,0,3672418,0,0,749972,4605018,2774884,15997962,0,6425443,0,0,43552255,7818123
south dakota,0,10202684,869218,166320,54427830,3341007,0,134227,0,0,748699,0,194420,0,2083347,0,0,0,5733988,0,2256481,0,483875,713919,961022,640863,0,0,0,1060755,0,0,693333,1214154,897878,5888914,0,3622928,0,0,3969936,1739271
tennessee,0,67713758,597298,459045,3814620,0,0,159391,0,4e+06,6425120,0,1231190,0,11998268,0,0,0,21901250,0,0,0,1804190,245852,0,27776,616467,0,0,4108688,0,0,592056,5884265,3805291,21857127,0,7751476,0,11822654,27804241,10419384
texas,760294,329687615,61224108,2447583,101370422,387398,3121615,148595,2855366,14666731,19761847,0,6008405,0,20023652,0,25333308,8705794,106333075,0,0,0,8794917,5132778,1112863,5629275,844585,0,0,14987671,2842810,0,4554206,101628839,17957437,104349916,0,24461141,0,0,154813554,52030307
utah,0,18336239,1916719,813024,8360261,1493601,0,66666,0,0,775812,0,317804,0,8573929,0,4031246,0,5733951,0,273737,0,483875,123418,0,0,0,0,0,442288,0,0,0,5302682,1042172,8216380,0,5648349,0,0,0,2685530
vermont,0,8141786,658510,485712,218447,234766,0,159448,0,0,1031331,0,163568,0,2555676,0,0,0,5733988,0,0,0,483875,27440,0,0,0,0,0,0,0,0,0,5e+05,897878,5888914,0,3417438,0,0,0,1320614
virginia,0,64692426,823989,1943700,41689957,15473,0,159601,0,0,3137429,0,1133205,1228646,11561586,0,338453,0,19265755,0,0,0,1657012,110302,1012492,244700,300628,0,0,2412482,0,0,1628247,11588738,2928802,22238137,0,8847804,0,1411159,13748723,9207252
washington,0,51031021,15691456,1032887,52063217,3871976,1777909,82536,2861561,0,5104875,0,862249,0,9337924,0,0,0,15519624,0,877855,0,1249209,2003496,0,0,1226462,0,0,3029302,3948100,0,0,16293998,2547626,20050676,0,7979720,0,1266062,9298686,7737971
west virginia,0,23177447,0,757887,11164,0,0,0,0,0,2339601,0,402407,0,2097924,0,0,4136634,7057238,0,0,0,589992,45192,0,643250,0,0,0,3154088,0,0,0,783952,1058763,9813570,0,4248175,0,0,0,3369520
wisconsin,0,52087477,659735,809955,12870537,2415763,848626,159449,0,0,9412344,0,821852,150000,13455745,0,0,0,16341270,0,431073,0,1200844,1545843,0,434934,401481,0,0,3492681,0,0,0,6800172,2084043,19432704,0,7210748,0,1283057,245925,7802632
wyoming,0,7984562,242064,550501,19978463,817890,0,0,0,0,7130293,0,163568,0,3896544,0,274049,0,5733988,0,302976,0,483875,0,0,0,0,0,0,19017,0,0,0,1318761,897878,5888914,0,3408017,0,0,0,1330769
